201,a
201,b
201,c
201,d
201,e
201,f
201,g
201,h
201,i
201,j
201,k
201,l
201,m
201,n
201,o
201,p
201,q
201,r
201,s
201,t
201,u
201,v
201,w
201,x
201,y
201,z
386,attack
386,defense
386,speed
412,plant
412,sandy
412,trash
413,plant
413,sandy
413,trash
422,east
422,west
423,east
423,west
479,heat
479,wash
479,frost
479,fan
479,mow
483,origin
484,origin
487,altered
487,origin
492,land
492,sky
493,normal
493,fire
493,water
493,electric
493,grass
493,ice
493,fighting
493,poison
493,ground
493,flying
493,psychic
493,bug
493,rock
493,ghost
493,dragon
493,dark
493,steel
493,fairy
550,red
550,blue
550,white
585,spring
585,summer
585,autumn
585,winter
586,spring
586,summer
586,autumn
586,winter
641,incarnate
641,therian
642,incarnate
642,therian
645,incarnate
645,therian
905,incarnate
905,therian
646,white
646,black
647,ordinary
647,resolute
648,aria
648,pirouette
649,shock_drive
649,burn_drive
649,chill_drive
649,douse_drive
666,archipelago
666,continental
666,elegant
666,garden
666,high_plains
666,icy_snow
666,jungle
666,marine
666,meadow
666,modern
666,monsoon
666,ocean
666,polar
666,river
666,sandstorm
666,savanna
666,sun
666,tundra
666,fancy
666,poke_ball
669,red_flower
669,yellow_flower
669,orange_flower
669,blue_flower
669,white_flower
670,red_flower
670,yellow_flower
670,orange_flower
670,blue_flower
670,white_flower
671,red_flower
671,yellow_flower
671,orange_flower
671,blue_flower
671,white_flower
676,natural
676,white_trim
676,star_trim
676,diamond_trim
676,debutane_trim
676,matron_trim
676,dandy_trim
676,la_reine_trim
676,kabuki_trim
676,pharaoh_trim
710,small_size
710,average_size
710,large_size
710,super_size
711,small_size
711,average_size
711,large_size
711,super_size
718,10%
718,complete
720,confined
720,unbound
741,baile_style
741,pom-pom_style
741,pa'u_style
741,sensu_style
745,midday
745,midnight
745,dusk
773,normal
773,fire
773,water
773,electric
773,grass
773,ice
773,fighting
773,poison
773,ground
773,flying
773,psychic
773,bug
773,rock
773,ghost
773,dragon
773,dark
773,steel
773,fairy
774,red_core
774,orange_core
774,yellow_core
774,green_core
774,blue_core
774,indigo_core
774,violet_core
800,dusk_mane
800,dawn_wings
801,original_color
849,amped
849,low_key
854,phony
854,authentic
892,single_strike
892,rapid_strike
893,dada
898,ice_rider
898,shadow_rider
901,bloodmoon
925,family_of_four
925,family_of_three
931,green_plumage
931,blue_plumage
931,yellow_plumage
931,white_plumage
978,curly
978,droopy
978,stretchy
982,three_segment
982,two_segment
999,chest
999,roaming
1012,counterfeit
1012,artisan
1013,counterfeit
1013,artisan
1017,teal_mask
1017,wellspring_mask
1017,cornerstone_mask
1017,hearthflame_mask
